ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
European seabass,Asia,Cyprus,Marine areas,Tonnes - live weight,2680,2924,2836,2389,2254,1517,1726,1817,1422,1100,1495,1198,703,752,740,590,583,698,448,422,383,299,298,205,57,100,99,20,34,19,15,15,10,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Iran (Islamic Rep. of),Marine areas,Tonnes - live weight,5616,4370,4155,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Israel,Marine areas,Tonnes - live weight,70,70,320,70,70,67,50,44,204,203,200,200,191,197,26,158,199,349,361,385,337,150,26,30,,66,700,300,100,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Kuwait,Marine areas,Tonnes - live weight,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Lebanon,Marine areas,Tonnes - live weight,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Oman,Marine areas,Tonnes - live weight,,,,,,,,,,,,,,,,,28,27,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Palestine,Marine areas,Tonnes - live weight,0,20,20,50,30,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Saudi Arabia,Marine areas,Tonnes - live weight,215,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,Türkiye,Marine areas,Tonnes - live weight,155151,148907,137419,116915,99971,80847,75164,74653,67912.5,65512,47013,50796,46554,49270,41900,38408,37490,26297,20982,14339,15546,17877,12000,8660,6300,5210,2773,2229,3158,808,777,102,51,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Asia,United Arab Emirates,Marine areas,Tonnes - live weight,502,550,800,665,665,584,,,10,,,,,,190,190,190,190,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Albania,Marine areas,Tonnes - live weight,2463,2875,1020,1000,1000,800,700,700,600,400,170,135,135,142,84,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Bosnia and Herzegovina,Marine areas,Tonnes - live weight,53.9,46,76,75,80.9,79.5,83,73,,,84,80,80,100,100,84,86,47,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Croatia,Marine areas,Tonnes - live weight,9038.9,6754.05,6089.08,6220.13,5615.808,5310.025,4488.388,3214.721,2826,2453,2775,2800,2800,2700,2800,2400,2000,2300,1813,1800,1520,1300,1300,1152,394,172,247,182,174,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,France,Marine areas,Tonnes - live weight,2290,2376.017,2460.6,1721.52,1400,1750,2156.2,2244.3,2428,2321,2452,2337,1253.2,4162.7,3240,3239,3913,3438,3876,3536,2721,3020,3225,3100,2114,1997,2656,2138,1330,550,414,300,250,145,140,90,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Germany,Marine areas,Tonnes - live weight,,,,,,,,,,,,0,0,0,15,15,25,45,,40,10,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Greece,Marine areas,Tonnes - live weight,51231.8,40763.174,41236.8,46910.8,44284.7,42479.4,36600.1,32141.6,34919.7,35805.068,37089,39884,33631,35036,34760,34040,30959,25766,27324,23860,25342,26653,24413,18469,15193,11662,9539,6870,7345,5043,2530,1952,300,110,70,90,60,40,20,10,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Iceland,Marine areas,Tonnes - live weight,,,,,,,0,0,0,0,0,0,0,0,0,0,,,80,40,20,20,15,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Italy,Marine areas,Tonnes - live weight,7276.9,6153.228,7420,5738.1,6800,6800,5800,5724.31,6330,6896,6672.2,6457,6714,6812.93,8505,8335,6262,6831,9600,7176,9500,8100,7200,5850,4600,3800,3600,2850,2466,1826,1538,1050,1100,930,750,550,340,280,250,200,150,120,90,70,50,40,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
European seabass,Europe,Malta,Marine areas,Tonnes - live weight,221.032,135.576,62.224,76.752,59.37,38.818,27,190,127,126,13.794,102,93,97,75,155,196,125,93,50,196,234,80,80,720,621,350,350,400,350,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Montenegro,Marine areas,Tonnes - live weight,43,38,68,78,54,79,76,45,50,50,60,60,60,50,39,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Portugal,Marine areas,Tonnes - live weight,833.626,904.27,674.65,199.68,700.57,403.29,295.408,454.716,575.329,531.3,461,397,420,1069.5,1192,1584,1530,1235,1384,808,925,653,719,513,515,327,265,140,83,8,3,2,5,52,52,52,42,35,30,20,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Slovenia,Marine areas,Tonnes - live weight,37.7,50,80,80,80,70,70,66,50,52,56.2,41.6,64.6,50,15,30,25,78,55,25,59,46,35,54,29,53,29,34,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Spain,Marine areas,Tonnes - live weight,23037.394,22764.911,25259.981,21268.82,17655.921,22956.19,18600.367,16722.301,14945.47,14455.1,17547.649,11490.5,12654.74,9740,9152,7763,5713,3802,3840,3339,2307,1837,1227,936,511,693,461,351,370,143,92,31,24,29,38,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,United Kingdom,Marine areas,Tonnes - live weight,,,,,,,0,250,252,190,490,473,322,23,0,0,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European seabass,Europe,Yugoslavia SFR,Marine areas,Tonnes - live weight,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,160,200,70,50,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flathead grey mullet,Africa,Tunisia,Marine areas,Tonnes - live weight,,,,,,200,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,3,0,3,1,3,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flathead grey mullet,Americas,Guyana,Marine areas,Tonnes - live weight,,,,,,4.86,26.51,42.371,8,7,19,35.3,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flathead grey mullet,Americas,Mexico,Marine areas,Tonnes - live weight,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
